,level,left,top,organ
"16,11,27",16,11,27,01_penis
"16,11,28",16,11,28,01_penis
"16,11,29",16,11,29,01_penis
"16,11,30",16,11,30,01_penis
"16,11,31",16,11,31,01_penis
"16,11,47",16,11,47,09_follicle
"16,11,48",16,11,48,09_follicle
"16,11,49",16,11,49,09_follicle
"16,11,50",16,11,50,09_follicle
"16,11,51",16,11,51,09_follicle
"16,11,52",16,11,52,09_follicle
"16,11,53",16,11,53,09_follicle
"16,11,54",16,11,54,09_follicle
"16,11,55",16,11,55,09_follicle
"16,11,56",16,11,56,09_follicle
"16,11,57",16,11,57,09_follicle
"16,11,58",16,11,58,09_follicle
"16,11,76",16,11,76,16_urinary_bladder
"16,11,77",16,11,77,16_urinary_bladder
"16,11,78",16,11,78,16_urinary_bladder
"16,11,79",16,11,79,16_urinary_bladder
"16,11,80",16,11,80,16_urinary_bladder
"16,11,81",16,11,81,16_urinary_bladder
"16,11,82",16,11,82,16_urinary_bladder
"16,11,83",16,11,83,16_urinary_bladder
"16,11,84",16,11,84,16_urinary_bladder
"16,11,85",16,11,85,16_urinary_bladder
"16,11,86",16,11,86,16_urinary_bladder
"16,11,87",16,11,87,16_urinary_bladder
"16,11,88",16,11,88,16_urinary_bladder
"16,11,89",16,11,89,16_urinary_bladder
"16,11,103",16,11,103,24_pituitary_gland
"16,11,104",16,11,104,24_pituitary_gland
"16,11,105",16,11,105,24_pituitary_gland
"16,11,106",16,11,106,24_pituitary_gland
"16,11,107",16,11,107,24_pituitary_gland
"16,11,108",16,11,108,24_pituitary_gland
"16,11,109",16,11,109,24_pituitary_gland
"16,11,110",16,11,110,24_pituitary_gland
"16,11,111",16,11,111,24_pituitary_gland
"16,11,112",16,11,112,24_pituitary_gland
"16,11,113",16,11,113,24_pituitary_gland
"16,11,114",16,11,114,24_pituitary_gland
"16,11,115",16,11,115,24_pituitary_gland
"16,11,116",16,11,116,24_pituitary_gland
"16,11,117",16,11,117,24_pituitary_gland
"16,11,118",16,11,118,24_pituitary_gland
"16,11,136",16,11,136,32_ESCC
"16,11,137",16,11,137,32_ESCC
"16,11,138",16,11,138,32_ESCC
"16,11,139",16,11,139,32_ESCC
"16,11,140",16,11,140,32_ESCC
"16,11,141",16,11,141,32_ESCC
"16,11,142",16,11,142,32_ESCC
"16,11,143",16,11,143,32_ESCC
"16,11,144",16,11,144,32_ESCC
"16,11,145",16,11,145,32_ESCC
"16,11,146",16,11,146,32_ESCC
"16,11,147",16,11,147,32_ESCC
"16,11,148",16,11,148,32_ESCC
"16,11,160",16,11,160,39_HCC
"16,11,161",16,11,161,39_HCC
"16,11,162",16,11,162,39_HCC
"16,11,163",16,11,163,39_HCC
"16,11,164",16,11,164,39_HCC
"16,11,165",16,11,165,39_HCC
"16,11,166",16,11,166,39_HCC
"16,11,167",16,11,167,39_HCC
"16,11,168",16,11,168,39_HCC
"16,11,169",16,11,169,39_HCC
"16,11,170",16,11,170,39_HCC
"16,11,171",16,11,171,39_HCC
"16,11,172",16,11,172,39_HCC
"16,11,173",16,11,173,39_HCC
"16,11,174",16,11,174,39_HCC
"16,11,175",16,11,175,39_HCC
"16,12,16",16,12,16,01_penis
"16,12,17",16,12,17,01_penis
"16,12,18",16,12,18,01_penis
"16,12,19",16,12,19,01_penis
"16,12,20",16,12,20,01_penis
"16,12,21",16,12,21,01_penis
"16,12,22",16,12,22,01_penis
"16,12,23",16,12,23,01_penis
"16,12,24",16,12,24,01_penis
"16,12,25",16,12,25,01_penis
"16,12,26",16,12,26,01_penis
"16,12,27",16,12,27,01_penis
"16,12,28",16,12,28,01_penis
"16,12,29",16,12,29,01_penis
"16,12,30",16,12,30,01_penis
"16,12,31",16,12,31,01_penis
"16,12,32",16,12,32,01_penis
"16,12,46",16,12,46,09_follicle
"16,12,47",16,12,47,09_follicle
"16,12,48",16,12,48,09_follicle
"16,12,49",16,12,49,09_follicle
"16,12,50",16,12,50,09_follicle
"16,12,51",16,12,51,09_follicle
"16,12,52",16,12,52,09_follicle
"16,12,53",16,12,53,09_follicle
"16,12,54",16,12,54,09_follicle
"16,12,55",16,12,55,09_follicle
"16,12,56",16,12,56,09_follicle
"16,12,57",16,12,57,09_follicle
"16,12,58",16,12,58,09_follicle
"16,12,59",16,12,59,09_follicle
"16,12,60",16,12,60,09_follicle
"16,12,75",16,12,75,16_urinary_bladder
"16,12,76",16,12,76,16_urinary_bladder
"16,12,77",16,12,77,16_urinary_bladder
"16,12,78",16,12,78,16_urinary_bladder
"16,12,79",16,12,79,16_urinary_bladder
"16,12,80",16,12,80,16_urinary_bladder
"16,12,81",16,12,81,16_urinary_bladder
"16,12,82",16,12,82,16_urinary_bladder
"16,12,83",16,12,83,16_urinary_bladder
"16,12,84",16,12,84,16_urinary_bladder
"16,12,85",16,12,85,16_urinary_bladder
"16,12,86",16,12,86,16_urinary_bladder
"16,12,87",16,12,87,16_urinary_bladder
"16,12,88",16,12,88,16_urinary_bladder
"16,12,89",16,12,89,16_urinary_bladder
"16,12,90",16,12,90,16_urinary_bladder
"16,12,102",16,12,102,24_pituitary_gland
"16,12,103",16,12,103,24_pituitary_gland
"16,12,104",16,12,104,24_pituitary_gland
"16,12,105",16,12,105,24_pituitary_gland
"16,12,106",16,12,106,24_pituitary_gland
"16,12,107",16,12,107,24_pituitary_gland
"16,12,108",16,12,108,24_pituitary_gland
"16,12,109",16,12,109,24_pituitary_gland
"16,12,110",16,12,110,24_pituitary_gland
"16,12,111",16,12,111,24_pituitary_gland
"16,12,112",16,12,112,24_pituitary_gland
"16,12,113",16,12,113,24_pituitary_gland
"16,12,114",16,12,114,24_pituitary_gland
"16,12,115",16,12,115,24_pituitary_gland
"16,12,116",16,12,116,24_pituitary_gland
"16,12,117",16,12,117,24_pituitary_gland
"16,12,118",16,12,118,24_pituitary_gland
"16,12,135",16,12,135,32_ESCC
"16,12,136",16,12,136,32_ESCC
"16,12,137",16,12,137,32_ESCC
"16,12,138",16,12,138,32_ESCC
"16,12,139",16,12,139,32_ESCC
"16,12,140",16,12,140,32_ESCC
"16,12,141",16,12,141,32_ESCC
"16,12,142",16,12,142,32_ESCC
"16,12,143",16,12,143,32_ESCC
"16,12,144",16,12,144,32_ESCC
"16,12,145",16,12,145,32_ESCC
"16,12,146",16,12,146,32_ESCC
"16,12,147",16,12,147,32_ESCC
"16,12,148",16,12,148,32_ESCC
"16,12,149",16,12,149,32_ESCC
"16,12,150",16,12,150,32_ESCC
"16,12,159",16,12,159,39_HCC
"16,12,160",16,12,160,39_HCC
"16,12,161",16,12,161,39_HCC
"16,12,162",16,12,162,39_HCC
"16,12,163",16,12,163,39_HCC
"16,12,164",16,12,164,39_HCC
"16,12,165",16,12,165,39_HCC
"16,12,166",16,12,166,39_HCC
"16,12,167",16,12,167,39_HCC
"16,12,168",16,12,168,39_HCC
"16,12,169",16,12,169,39_HCC
"16,12,170",16,12,170,39_HCC
"16,12,171",16,12,171,39_HCC
"16,12,172",16,12,172,39_HCC
"16,12,173",16,12,173,39_HCC
"16,12,174",16,12,174,39_HCC
"16,12,175",16,12,175,39_HCC
"16,12,176",16,12,176,39_HCC
"16,13,15",16,13,15,01_penis
"16,13,16",16,13,16,01_penis
"16,13,17",16,13,17,01_penis
"16,13,18",16,13,18,01_penis
"16,13,19",16,13,19,01_penis
"16,13,20",16,13,20,01_penis
"16,13,21",16,13,21,01_penis
"16,13,22",16,13,22,01_penis
"16,13,23",16,13,23,01_penis
"16,13,24",16,13,24,01_penis
"16,13,25",16,13,25,01_penis
"16,13,26",16,13,26,01_penis
"16,13,27",16,13,27,01_penis
"16,13,28",16,13,28,01_penis
"16,13,29",16,13,29,01_penis
"16,13,30",16,13,30,01_penis
"16,13,31",16,13,31,01_penis
"16,13,32",16,13,32,01_penis
"16,13,46",16,13,46,09_follicle
"16,13,47",16,13,47,09_follicle
"16,13,48",16,13,48,09_follicle
"16,13,49",16,13,49,09_follicle
"16,13,50",16,13,50,09_follicle
"16,13,51",16,13,51,09_follicle
"16,13,52",16,13,52,09_follicle
"16,13,53",16,13,53,09_follicle
"16,13,54",16,13,54,09_follicle
"16,13,55",16,13,55,09_follicle
"16,13,56",16,13,56,09_follicle
"16,13,57",16,13,57,09_follicle
"16,13,58",16,13,58,09_follicle
"16,13,59",16,13,59,09_follicle
"16,13,60",16,13,60,09_follicle
"16,13,61",16,13,61,09_follicle
"16,13,75",16,13,75,16_urinary_bladder
"16,13,76",16,13,76,16_urinary_bladder
"16,13,77",16,13,77,16_urinary_bladder
"16,13,78",16,13,78,16_urinary_bladder
"16,13,79",16,13,79,16_urinary_bladder
"16,13,80",16,13,80,16_urinary_bladder
"16,13,81",16,13,81,16_urinary_bladder
"16,13,82",16,13,82,16_urinary_bladder
"16,13,83",16,13,83,16_urinary_bladder
"16,13,84",16,13,84,16_urinary_bladder
"16,13,85",16,13,85,16_urinary_bladder
"16,13,86",16,13,86,16_urinary_bladder
"16,13,87",16,13,87,16_urinary_bladder
"16,13,88",16,13,88,16_urinary_bladder
"16,13,89",16,13,89,16_urinary_bladder
"16,13,90",16,13,90,16_urinary_bladder
"16,13,91",16,13,91,16_urinary_bladder
"16,13,102",16,13,102,24_pituitary_gland
"16,13,103",16,13,103,24_pituitary_gland
"16,13,104",16,13,104,24_pituitary_gland
"16,13,105",16,13,105,24_pituitary_gland
"16,13,106",16,13,106,24_pituitary_gland
"16,13,107",16,13,107,24_pituitary_gland
"16,13,108",16,13,108,24_pituitary_gland
"16,13,109",16,13,109,24_pituitary_gland
"16,13,110",16,13,110,24_pituitary_gland
"16,13,111",16,13,111,24_pituitary_gland
"16,13,112",16,13,112,24_pituitary_gland
"16,13,113",16,13,113,24_pituitary_gland
"16,13,114",16,13,114,24_pituitary_gland
"16,13,115",16,13,115,24_pituitary_gland
"16,13,116",16,13,116,24_pituitary_gland
"16,13,117",16,13,117,24_pituitary_gland
"16,13,118",16,13,118,24_pituitary_gland
"16,13,119",16,13,119,24_pituitary_gland
"16,13,134",16,13,134,32_ESCC
"16,13,135",16,13,135,32_ESCC
"16,13,136",16,13,136,32_ESCC
"16,13,137",16,13,137,32_ESCC
"16,13,138",16,13,138,32_ESCC
"16,13,139",16,13,139,32_ESCC
"16,13,140",16,13,140,32_ESCC
"16,13,141",16,13,141,32_ESCC
"16,13,142",16,13,142,32_ESCC
"16,13,143",16,13,143,32_ESCC
"16,13,144",16,13,144,32_ESCC
"16,13,145",16,13,145,32_ESCC
"16,13,146",16,13,146,32_ESCC
"16,13,147",16,13,147,32_ESCC
"16,13,148",16,13,148,32_ESCC
"16,13,149",16,13,149,32_ESCC
"16,13,150",16,13,150,32_ESCC
"16,13,151",16,13,151,32_ESCC
"16,13,159",16,13,159,39_HCC
"16,13,160",16,13,160,39_HCC
"16,13,161",16,13,161,39_HCC
"16,13,162",16,13,162,39_HCC
"16,13,163",16,13,163,39_HCC
"16,13,164",16,13,164,39_HCC
"16,13,165",16,13,165,39_HCC
"16,13,166",16,13,166,39_HCC
"16,13,167",16,13,167,39_HCC
"16,13,168",16,13,168,39_HCC
"16,13,169",16,13,169,39_HCC
"16,13,170",16,13,170,39_HCC
"16,13,171",16,13,171,39_HCC
"16,13,172",16,13,172,39_HCC
"16,13,173",16,13,173,39_HCC
"16,13,174",16,13,174,39_HCC
"16,13,175",16,13,175,39_HCC
"16,13,176",16,13,176,39_HCC
"16,13,177",16,13,177,39_HCC
"16,14,14",16,14,14,01_penis
"16,14,15",16,14,15,01_penis
"16,14,16",16,14,16,01_penis
"16,14,17",16,14,17,01_penis
"16,14,18",16,14,18,01_penis
"16,14,19",16,14,19,01_penis
"16,14,20",16,14,20,01_penis
"16,14,21",16,14,21,01_penis
"16,14,22",16,14,22,01_penis
"16,14,23",16,14,23,01_penis
"16,14,24",16,14,24,01_penis
"16,14,25",16,14,25,01_penis
"16,14,26",16,14,26,01_penis
"16,14,27",16,14,27,01_penis
"16,14,28",16,14,28,01_penis
"16,14,29",16,14,29,01_penis
"16,14,30",16,14,30,01_penis
"16,14,31",16,14,31,01_penis
"16,14,32",16,14,32,01_penis
"16,14,33",16,14,33,01_penis
"16,14,45",16,14,45,09_follicle
"16,14,46",16,14,46,09_follicle
"16,14,47",16,14,47,09_follicle
"16,14,48",16,14,48,09_follicle
"16,14,49",16,14,49,09_follicle
"16,14,50",16,14,50,09_follicle
"16,14,51",16,14,51,09_follicle
"16,14,52",16,14,52,09_follicle
"16,14,53",16,14,53,09_follicle
"16,14,54",16,14,54,09_follicle
"16,14,55",16,14,55,09_follicle
"16,14,56",16,14,56,09_follicle
"16,14,57",16,14,57,09_follicle
"16,14,58",16,14,58,09_follicle
"16,14,59",16,14,59,09_follicle
"16,14,60",16,14,60,09_follicle
"16,14,61",16,14,61,09_follicle
"16,14,62",16,14,62,09_follicle
"16,14,74",16,14,74,16_urinary_bladder
"16,14,75",16,14,75,16_urinary_bladder
"16,14,76",16,14,76,16_urinary_bladder
"16,14,77",16,14,77,16_urinary_bladder
"16,14,78",16,14,78,16_urinary_bladder
"16,14,79",16,14,79,16_urinary_bladder
"16,14,80",16,14,80,16_urinary_bladder
"16,14,81",16,14,81,16_urinary_bladder
"16,14,82",16,14,82,16_urinary_bladder
"16,14,83",16,14,83,16_urinary_bladder
"16,14,84",16,14,84,16_urinary_bladder
"16,14,85",16,14,85,16_urinary_bladder
"16,14,86",16,14,86,16_urinary_bladder
"16,14,87",16,14,87,16_urinary_bladder
"16,14,88",16,14,88,16_urinary_bladder
"16,14,89",16,14,89,16_urinary_bladder
"16,14,90",16,14,90,16_urinary_bladder
"16,14,91",16,14,91,16_urinary_bladder
"16,14,101",16,14,101,24_pituitary_gland
"16,14,102",16,14,102,24_pituitary_gland
"16,14,103",16,14,103,24_pituitary_gland
"16,14,104",16,14,104,24_pituitary_gland
"16,14,105",16,14,105,24_pituitary_gland
"16,14,106",16,14,106,24_pituitary_gland
"16,14,107",16,14,107,24_pituitary_gland
"16,14,108",16,14,108,24_pituitary_gland
"16,14,109",16,14,109,24_pituitary_gland
"16,14,110",16,14,110,24_pituitary_gland
"16,14,111",16,14,111,24_pituitary_gland
"16,14,112",16,14,112,24_pituitary_gland
"16,14,113",16,14,113,24_pituitary_gland
"16,14,114",16,14,114,24_pituitary_gland
"16,14,115",16,14,115,24_pituitary_gland
"16,14,116",16,14,116,24_pituitary_gland
"16,14,117",16,14,117,24_pituitary_gland
"16,14,118",16,14,118,24_pituitary_gland
"16,14,119",16,14,119,24_pituitary_gland
"16,14,120",16,14,120,24_pituitary_gland
"16,14,133",16,14,133,32_ESCC
"16,14,134",16,14,134,32_ESCC
"16,14,135",16,14,135,32_ESCC
"16,14,136",16,14,136,32_ESCC
"16,14,137",16,14,137,32_ESCC
"16,14,138",16,14,138,32_ESCC
"16,14,139",16,14,139,32_ESCC
"16,14,140",16,14,140,32_ESCC
"16,14,141",16,14,141,32_ESCC
"16,14,142",16,14,142,32_ESCC
"16,14,143",16,14,143,32_ESCC
"16,14,144",16,14,144,32_ESCC
"16,14,145",16,14,145,32_ESCC
"16,14,146",16,14,146,32_ESCC
"16,14,147",16,14,147,32_ESCC
"16,14,148",16,14,148,32_ESCC
"16,14,149",16,14,149,32_ESCC
"16,14,150",16,14,150,32_ESCC
"16,14,151",16,14,151,32_ESCC
"16,14,158",16,14,158,39_HCC
"16,14,159",16,14,159,39_HCC
"16,14,160",16,14,160,39_HCC
"16,14,161",16,14,161,39_HCC
"16,14,162",16,14,162,39_HCC
"16,14,163",16,14,163,39_HCC
"16,14,164",16,14,164,39_HCC
"16,14,165",16,14,165,39_HCC
"16,14,166",16,14,166,39_HCC
"16,14,167",16,14,167,39_HCC
"16,14,168",16,14,168,39_HCC
"16,14,169",16,14,169,39_HCC
"16,14,170",16,14,170,39_HCC
"16,14,171",16,14,171,39_HCC
"16,14,172",16,14,172,39_HCC
"16,14,173",16,14,173,39_HCC
"16,14,174",16,14,174,39_HCC
"16,14,175",16,14,175,39_HCC
"16,14,176",16,14,176,39_HCC
"16,14,177",16,14,177,39_HCC
"16,14,178",16,14,178,39_HCC
"16,15,14",16,15,14,01_penis
"16,15,15",16,15,15,01_penis
"16,15,16",16,15,16,01_penis
"16,15,17",16,15,17,01_penis
"16,15,18",16,15,18,01_penis
"16,15,19",16,15,19,01_penis
"16,15,20",16,15,20,01_penis
"16,15,21",16,15,21,01_penis
"16,15,22",16,15,22,01_penis
"16,15,23",16,15,23,01_penis
"16,15,24",16,15,24,01_penis
"16,15,25",16,15,25,01_penis
"16,15,26",16,15,26,01_penis
"16,15,27",16,15,27,01_penis
"16,15,28",16,15,28,01_penis
"16,15,29",16,15,29,01_penis
"16,15,30",16,15,30,01_penis
"16,15,31",16,15,31,01_penis
"16,15,32",16,15,32,01_penis
"16,15,33",16,15,33,01_penis
"16,15,34",16,15,34,01_penis
"16,15,44",16,15,44,09_follicle
"16,15,45",16,15,45,09_follicle
"16,15,46",16,15,46,09_follicle
"16,15,47",16,15,47,09_follicle
"16,15,48",16,15,48,09_follicle
"16,15,49",16,15,49,09_follicle
"16,15,50",16,15,50,09_follicle
"16,15,51",16,15,51,09_follicle
"16,15,52",16,15,52,09_follicle
"16,15,53",16,15,53,09_follicle
"16,15,54",16,15,54,09_follicle
"16,15,55",16,15,55,09_follicle
"16,15,56",16,15,56,09_follicle
"16,15,57",16,15,57,09_follicle
"16,15,58",16,15,58,09_follicle
"16,15,59",16,15,59,09_follicle
"16,15,60",16,15,60,09_follicle
"16,15,61",16,15,61,09_follicle
"16,15,62",16,15,62,09_follicle
"16,15,73",16,15,73,16_urinary_bladder
"16,15,74",16,15,74,16_urinary_bladder
"16,15,75",16,15,75,16_urinary_bladder
"16,15,76",16,15,76,16_urinary_bladder
"16,15,77",16,15,77,16_urinary_bladder
"16,15,78",16,15,78,16_urinary_bladder
"16,15,79",16,15,79,16_urinary_bladder
"16,15,80",16,15,80,16_urinary_bladder
"16,15,81",16,15,81,16_urinary_bladder
"16,15,82",16,15,82,16_urinary_bladder
"16,15,83",16,15,83,16_urinary_bladder
"16,15,84",16,15,84,16_urinary_bladder
"16,15,85",16,15,85,16_urinary_bladder
"16,15,86",16,15,86,16_urinary_bladder
"16,15,87",16,15,87,16_urinary_bladder
"16,15,88",16,15,88,16_urinary_bladder
"16,15,89",16,15,89,16_urinary_bladder
"16,15,91",16,15,91,16_urinary_bladder
"16,15,92",16,15,92,16_urinary_bladder
"16,15,100",16,15,100,24_pituitary_gland
"16,15,101",16,15,101,24_pituitary_gland
"16,15,102",16,15,102,24_pituitary_gland
"16,15,103",16,15,103,24_pituitary_gland
"16,15,104",16,15,104,24_pituitary_gland
"16,15,105",16,15,105,24_pituitary_gland
"16,15,106",16,15,106,24_pituitary_gland
"16,15,107",16,15,107,24_pituitary_gland
"16,15,108",16,15,108,24_pituitary_gland
"16,15,109",16,15,109,24_pituitary_gland
"16,15,110",16,15,110,24_pituitary_gland
"16,15,111",16,15,111,24_pituitary_gland
"16,15,112",16,15,112,24_pituitary_gland
"16,15,113",16,15,113,24_pituitary_gland
"16,15,114",16,15,114,24_pituitary_gland
"16,15,115",16,15,115,24_pituitary_gland
"16,15,116",16,15,116,24_pituitary_gland
"16,15,117",16,15,117,24_pituitary_gland
"16,15,118",16,15,118,24_pituitary_gland
"16,15,119",16,15,119,24_pituitary_gland
"16,15,120",16,15,120,24_pituitary_gland
"16,15,133",16,15,133,32_ESCC
"16,15,134",16,15,134,32_ESCC
"16,15,135",16,15,135,32_ESCC
"16,15,136",16,15,136,32_ESCC
"16,15,137",16,15,137,32_ESCC
"16,15,138",16,15,138,32_ESCC
"16,15,139",16,15,139,32_ESCC
"16,15,140",16,15,140,32_ESCC
"16,15,141",16,15,141,32_ESCC
"16,15,142",16,15,142,32_ESCC
"16,15,143",16,15,143,32_ESCC
"16,15,144",16,15,144,32_ESCC
"16,15,145",16,15,145,32_ESCC
"16,15,146",16,15,146,32_ESCC
"16,15,147",16,15,147,32_ESCC
"16,15,148",16,15,148,32_ESCC
"16,15,149",16,15,149,32_ESCC
"16,15,150",16,15,150,32_ESCC
"16,15,151",16,15,151,32_ESCC
"16,15,152",16,15,152,32_ESCC
"16,15,158",16,15,158,39_HCC
"16,15,159",16,15,159,39_HCC
"16,15,160",16,15,160,39_HCC
"16,15,161",16,15,161,39_HCC
"16,15,162",16,15,162,39_HCC
"16,15,163",16,15,163,39_HCC
"16,15,164",16,15,164,39_HCC
"16,15,165",16,15,165,39_HCC
"16,15,166",16,15,166,39_HCC
"16,15,167",16,15,167,39_HCC
"16,15,168",16,15,168,39_HCC
"16,15,169",16,15,169,39_HCC
"16,15,170",16,15,170,39_HCC
"16,15,171",16,15,171,39_HCC
"16,15,172",16,15,172,39_HCC
"16,15,173",16,15,173,39_HCC
"16,15,174",16,15,174,39_HCC
"16,15,175",16,15,175,39_HCC
"16,15,176",16,15,176,39_HCC
"16,15,177",16,15,177,39_HCC
"16,15,178",16,15,178,39_HCC
"16,16,13",16,16,13,01_penis
"16,16,14",16,16,14,01_penis
"16,16,15",16,16,15,01_penis
"16,16,16",16,16,16,01_penis
"16,16,17",16,16,17,01_penis
"16,16,18",16,16,18,01_penis
"16,16,19",16,16,19,01_penis
"16,16,20",16,16,20,01_penis
"16,16,21",16,16,21,01_penis
"16,16,22",16,16,22,01_penis
"16,16,23",16,16,23,01_penis
"16,16,24",16,16,24,01_penis
"16,16,25",16,16,25,01_penis
"16,16,26",16,16,26,01_penis
"16,16,27",16,16,27,01_penis
"16,16,28",16,16,28,01_penis
"16,16,29",16,16,29,01_penis
"16,16,30",16,16,30,01_penis
"16,16,31",16,16,31,01_penis
"16,16,32",16,16,32,01_penis
"16,16,33",16,16,33,01_penis
"16,16,34",16,16,34,01_penis
"16,16,44",16,16,44,09_follicle
"16,16,45",16,16,45,09_follicle
"16,16,46",16,16,46,09_follicle
"16,16,47",16,16,47,09_follicle
"16,16,48",16,16,48,09_follicle
"16,16,49",16,16,49,09_follicle
"16,16,50",16,16,50,09_follicle
"16,16,51",16,16,51,09_follicle
"16,16,52",16,16,52,09_follicle
"16,16,53",16,16,53,09_follicle
"16,16,54",16,16,54,09_follicle
"16,16,55",16,16,55,09_follicle
"16,16,56",16,16,56,09_follicle
"16,16,57",16,16,57,09_follicle
"16,16,58",16,16,58,09_follicle
"16,16,59",16,16,59,09_follicle
"16,16,60",16,16,60,09_follicle
"16,16,61",16,16,61,09_follicle
